Sample_FormattedSB,Sample,UniqueID,SampleType,Hatch date,Death date; blank = alive,lifespan,hatch_year,Total no. of nestlings,Total no. of nestlings through 2017,Total no. of nestlings from 2018-2021,Total no. of nestlings from 2022-2024,Notes,status,FROH_1Mb,FROH_10Mb,Fped,DLG1,NEO1
AL209,AL209,209,Bird,4/30/13,,4438,2013,2,0,2,0,,0,0.2848136,0.073783356,0.1909,0,0
AL210,AL210,210,Bird,5/1/13,,4437,2013,0,,,,,0,0.316463,0.057308581,0.1909,1,0
AL213,AL213,213,Bird,5/16/13,,4422,2013,3,0,1,2,,0,0.2773854,0.067272419,0.0977,0,0
AL215,AL215,215,Bird,5/24/13,,4414,2013,4,1,2,1,,0,0.3644261,0.125376332,0.1909,0,0
AL216,AL216,216,Bird,6/1/13,,4406,2013,3,2,1,0,,0,0.4776555,0.200383309,0.2617,0,0
AL220,AL220,220,Bird,5/3/14,,4070,2014,0,,,,,0,0.3350702,0.108176164,0.1909,1,1
AL223,AL223,223,Bird,5/15/14,,4058,2014,4,1,0,1,,0,0.2733563,0.070453332,0.1909,,0
AL231,AL231,231,Bird,5/1/15,,3707,2015,6,0,5,1,,0,0.3557123,0.087829888,0.1909,1,0
AL238,AL238,238,Bird,7/18/15,,3629,2015,0,,,,,0,0.292343,0.080670005,0.1963,0,1
AL241,AL241,241,Bird,4/21/16,8/29/20,1591,2016,0,,,,,1,0.320198,0.120194763,0.1746,,
AL242,AL242,242,Bird,4/22/16,,3350,2016,3,0,1,2,,0,0.3488355,0.122095614,0.1686,,0
AL243,AL243,243,Bird,4/25/16,8/13/19,1205,2016,0,,,,,1,0.3949718,0.195863253,0.1686,1,0
AL244,AL244,244,Bird,5/16/16,,3326,2016,0,,,,,0,0.3202889,0.064873387,0.1963,1,1
AL246,AL246,246,Bird,5/19/16,,3323,2016,2,0,0,2,,0,0.3523446,0.167379222,0.1746,0,0
AL254,AL254,254,Bird,6/13/16,6/15/19,1097,2016,0,,,,,1,0.3387278,0.073145468,0.1733,0,1
AL255,AL255,255,Bird,6/15/16,9/4/20,1542,2016,0,,,,,1,0.4325634,0.249621529,0.1638,,1
AL256,AL256,256,Bird,6/15/16,2/11/20,1336,2016,0,,,,,1,0.3330094,0.112681147,0.1638,,1
AL263,AL263,263,Bird,6/26/16,8/21/19,1151,2016,0,,,,,1,0.2793763,0.067586587,0.1686,0,1
AL266,AL266,266,Bird,7/10/16,2/14/20,1314,2016,0,,,,,1,0.360615,0.079020574,0.1638,0,0
AL269,AL269,269,Bird,7/14/16,3/24/17,253,2016,0,,,,,1,0.2142082,0.015998359,0.1909,1,0
AL272,AL272,272,Bird,4/19/17,8/26/20,1225,2017,0,,,,,1,0.2654446,0.058517087,0.1536,0,0
AL273,AL273,273,Bird,4/21/17,,2986,2017,4,0,1,3,,0,0.2877836,0.071526816,0.1536,,0
AL274,AL274,274,Bird,4/22/17,2/2/20,1016,2017,0,,,,,1,0.3398899,0.110861131,0.1536,0,0
AL276,AL276,276,Bird,5/14/17,8/31/20,1205,2017,0,,,,,1,0.3597204,0.098610336,0.1686,1,1
AL278,AL278,278,Bird,5/15/17,8/10/17,87,2017,0,,,,,1,0.2576498,0.084218858,0.1638,,1
AL279,AL279,279,Bird,5/16/17,10/23/19,890,2017,0,,,,,1,0.3976666,0.160923401,0.1733,1,1
AL283,AL283,283,Bird,5/21/17,1/31/20,985,2017,0,,,,,1,0.3496896,0.160450867,0.1521,0,1
AL284,AL284,284,Bird,5/24/17,1/26/20,977,2017,0,,,,,1,0.3533606,0.181529683,0.1521,0,0
AL288,AL288,288,Bird,6/7/17,8/31/20,1181,2017,0,,,,,1,0.3030173,0.071347376,0.1597,1,0
AL292,AL292,292,Bird,6/12/17,,2934,2017,0,,,,,0,0.3980071,0.167938981,0.1733,1,1
AL300,AL300,300,Bird,6/27/17,1/13/20,930,2017,0,,,,,1,0.3902972,0.235456246,0.2266,0,0
AL303,AL303,303,Bird,7/1/17,,2915,2017,0,,,,,0,0.367635,0.187412383,0.1357,,1
AL304,AL304,304,Bird,7/3/17,,2913,2017,0,,,,,0,0.3225463,0.154613629,0.1357,,0
AL307,AL307,307,Bird,5/7/18,,2605,2018,5,0,0,4,,0,0.3352896,0.04762535,0.1536,0,0
AL309,AL309,309,Bird,5/25/18,5/4/23,1805,2018,0,,,,,1,0.3440052,0.043611166,0.2292,1,0
AL313,AL313,313,Bird,6/4/18,,2577,2018,0,,,,,0,0.3608906,0.146557352,0.1719,1,0
AL032,AL32,32,Bird,5/24/89,9/9/18,10700,1989,25,25,0,0,,1,0.4730168,0.294697448,0.25,0,0
AL035,AL35,35,Bird,5/27/92,11/11/20,10395,1992,2,1,1,0,,1,0.2363514,0.097222454,0.0938,0,0
AL075,AL75,75,Bird,7/19/97,2/26/24,9718,1997,2,2,0,0,,1,0.1808659,0.028112468,0,1,1
AL082,AL82,82,Bird,7/23/97,12/13/16,7083,1997,0,,,,,1,0.3776052,0.172542888,0.25,0,1
AL086,AL86,86,Bird,5/26/98,6/23/16,6603,1998,2,2,0,0,,1,0.2656569,0.062034706,0.0938,0,0
AL088,AL88,88,Bird,6/13/99,,9508,1999,12,12,0,0,,0,0.3724536,0.179190153,0.25,0,1
AL091,AL91,91,Bird,6/23/00,,9132,2000,13,13,0,0,,0,0.295575,0.101590008,0.0938,0,0
AL092,AL92,92,Bird,7/21/00,8/16/20,7331,2000,10,9,1,0,,1,0.2627976,0.07320793,0.0938,0,0
AL095,AL95,95,Bird,6/10/01,12/29/16,5681,2001,1,1,0,0,,1,0.1502207,0,0,1,0
AL097,AL97,97,Bird,6/19/01,,8771,2001,9,9,0,0,,0,0.2891167,0.078936154,0.0938,1,0
AL099,AL99,99,Bird,7/1/01,,8759,2001,2,2,0,0,,0,0.2356236,0.043555155,0,1,1
K1423,K1423,,Egg,,,0,2014,,,,,,1,0.2719973,0.094438902,0.0732,1,1
K1461,K1461,,Egg,,,0,2014,,,,,,1,0.314404,0.131006395,0.1016,0,0
K1542,K1542,,Egg,,,0,2015,,,,,,1,0.3249546,0.16334156,0.1536,2,1
K1544,K1544,,Egg,,,0,2015,,,,,,1,0.3286643,0.030698918,0.1016,1,0
K1567,K1567,,Egg,,,0,2015,,,,,,1,0.2748212,0.032363047,0.1357,2,0
K1579,K1579,,Egg,,,0,2015,,,,,,1,0.2549839,0.039277042,0.1909,1,0
K1580,K1580,,Egg,,,0,2015,,,,,,1,0.3767822,0.179407908,0.1016,0,0
K1583,K1583,,Egg,,,0,2015,,,,,,1,0.3258776,0.098606482,0.1536,1,2
K1603,K1603,,Egg,,,0,2016,,,,,,1,0.3210983,0.056652186,0.1746,0,0
K1606,K1606,,Egg,,,0,2016,,,,,,1,0.299724,0.045893566,0.1638,0,2
K1608,K1608,,Egg,,,0,2016,,,,,,1,0.2638717,0.06605613,0.1746,0,0
K16100,K16100,,Egg,,,0,2016,,,,,,1,0.3712346,0.212879797,0.1963,1,1
K1614,K1614,,Egg,,,0,2016,,,,,,1,0.2632064,0.044036707,0.1746,,2
K1617,K1617,,Egg,,,0,2016,,,,,,1,0.3341627,0.139201255,0.1963,0,0
K1618,K1618,,Egg,,,0,2016,,,,,,1,0.3873334,0.204061465,0.1638,0,2
K1623,K1623,,Egg,,,0,2016,,,,,,1,0.3381318,0.15477992,0.1536,0,
K1627,K1627,,Egg,,,0,2016,,,,,,1,0.3581793,0.065592816,0.1588,,2
K1632,K1632,,Egg,,,0,2016,,,,,,1,0.3731548,0.179674839,0.2617,2,2
K1640,K1640,,Egg,,,0,2016,,,,,,1,0.4182228,0.114682892,0.1686,0,0
K1650,K1650,,Egg,,,0,2016,,,,,,1,0.2749703,0.03449369,0.1588,0,0
K1660,K1660,,Egg,,,0,2016,,,,,,1,0.3844166,0.179703641,0.1638,0,1
K1663,K1663,,Egg,,,0,2016,,,,,,1,0.4934755,0.285489762,0.1909,0,2
K1665,K1665,,Egg,,,0,2016,,,,,,1,0.2635022,0.058472219,0.1686,1,0
K1669,K1669,,Egg,,,0,2016,,,,,,1,0.2986761,0.070768829,0.2061,0,0
K1672,K1672,,Egg,,,0,2016,,,,,,1,0.3427198,0.081606987,0.1536,0,0
K1680,K1680,,Egg,,,0,2016,,,,,,1,0.3080345,0.036020688,0.1746,0,0
K1684,K1684,,Egg,,,0,2016,,,,,,1,0.2665297,0.039852406,0.1638,1,0
K1693,K1693,,Egg,,,0,2016,,,,,,1,0.29283,0.051444825,0.1686,0,0
K1696,K1696,,Egg,,,0,2016,,,,,,1,0.2628342,0.052837037,0.1686,0,2
K17007,K17007,,Egg,,,0,2017,,,,,,1,0.3261968,0.073277285,0.1746,0,0
K17008,K17008,,Egg,,,0,2017,,,,,,1,0.4210696,0.182579938,0.1638,,
K17010,K17010,,Egg,,,0,2017,,,,,,1,0.3566211,0.134263145,0.1909,0,0
K17013,K17013,,Egg,,,0,2017,,,,,,1,0.3135086,0.129410617,0.1909,,0
K17014,K17014,,Egg,,,0,2017,,,,,,1,0.3161446,0.138881598,0.1686,1,0
K17025,K17025,,Egg,,,0,2017,,,,,,1,0.2923476,0.081078596,0.1638,1,0
K17028,K17028,,Egg,,,0,2017,,,,,,1,0.2921919,0.084397067,0.1521,0,2
K17030,K17030,,Egg,,,0,2017,,,,,,1,0.3567264,0.178414248,0.1746,0,0
K17032,K17032,,Egg,,,0,2017,,,,,,1,0.4179716,0.144673586,0.1638,0,2
K17033,K17033,,Egg,,,0,2017,,,,,,1,0.3754683,0.12878368,0.1588,2,2
K17034,K17034,,Egg,,,0,2017,,,,,,1,0.3045935,0.07918007,0.1746,0,0
K17035,K17035,,Egg,,,0,2017,,,,,,1,0.2320363,0.028208033,0.0732,1,0
K17037,K17037,,Egg,,,0,2017,,,,,,1,0.3302937,0.067699531,0.1588,0,1
K17040,K17040,,Egg,,,0,2017,,,,,,1,0.377263,0.04822977,0.1536,1,2
K17042,K17042,,Egg,,,0,2017,,,,,,1,0.3767002,0.067861699,0.1686,1,0
K17044,K17044,,Egg,,,0,2017,,,,,,1,0.2598568,0.065134803,0.1963,1,0
K17045,K17045,,Egg,,,0,2017,,,,,,1,0.4045391,0.239370181,0.2266,1,0
K17048,K17048,,Egg,,,0,2017,,,,,,1,0.4215592,0.230665367,0.2363,1,0
K17052,K17052,,Egg,,,0,2017,,,,,,1,0.347582,0.172637434,0.2266,0,0
K17053,K17053,,Egg,,,0,2017,,,,,,1,0.4215181,0.181959254,0.1963,1,1
K17056,K17056,,Egg,,,0,2017,,,,,,1,0.3737451,0.125514109,0.1963,1,1
K17062,K17062,,Egg,,,0,2017,,,,,,1,0.3375376,0.060015403,0.1638,1,1
K17064,K17064,,Egg,,,0,2017,,,,,,1,0.2296238,0.059372798,0.1686,1,1
K17073,K17073,,Egg,,,0,2017,,,,,,1,0.3092786,0.034050612,0.1588,1,2
K17077,K17077,,Egg,,,0,2017,,,,,,1,0.2912236,0.072950808,0.1726,0,0
K17078,K17078,,Egg,,,0,2017,,,,,,1,0.3579965,0.15165139,0.1536,0,0
K17081,K17081,,Egg,,,0,2017,,,,,,1,0.3072761,0.050608709,0.1726,0,0
K17083,K17083,,Egg,,,0,2017,,,,,,1,0.3879935,0.21598062,0.2363,2,0
K17087,K17087,,Egg,,,0,2017,,,,,,1,0.3744996,0.131692852,0.2061,0,0
K17091,K17091,,Egg,,,0,2017,,,,,,1,0.3858336,0.133059979,0.1686,2,1
K17094,K17094,,Egg,,,0,2017,,,,,,1,0.3898309,0.19509235,0.2363,0,0
K17098,K17098,,Egg,,,0,2017,,,,,,1,0.2586129,0.016419816,0.1963,1,1
K17099,K17099,,Egg,,,0,2017,,,,,,1,0.3457319,0.088213478,0.1521,0,2
K17101,K17101,,Egg,,,0,2017,,,,,,1,0.3029172,0.057265632,0.1638,2,0
K17102,K17102,,Egg,,,0,2017,,,,,,1,0.2608063,0,0.1521,1,1
K17103,K17103,,Egg,,,0,2017,,,,,,1,0.3558729,0.072863845,,,1
K17104,K17104,,Egg,,,0,2017,,,,,,1,0.3072858,0.070583043,,0,0
K17106,K17106,,Egg,,,0,2017,,,,,,1,0.3420977,0.108776617,0.1638,2,0
K18010,K18010,,Egg,,,0,2018,,,,,,1,0.3670155,0.18651902,0.1686,1,1
K18017,K18017,,Egg,,,0,2018,,,,,,1,0.340453,0.071276797,0.1638,1,1
K18019,K18019,,Egg,,,0,2018,,,,,,1,0.2505373,0.013544498,0.1638,0,1
K18022,K18022,,Egg,,,0,2018,,,,,,1,0.4042885,0.235962615,0.1521,0,2
K18034,K18034,,Egg,,,0,2018,,,,,,1,0.3458583,0.134074288,0.1686,,1
K18078,K18078,,Egg,,,0,2018,,,,,,1,0.3383804,0.061079977,0.1638,1,1
K18083,K18083,,Egg,,,0,2018,,,,,,1,0.3092735,0.06655975,0.1357,,0
K18084,K18084,,Egg,,,0,2018,,,,,,1,0.3433312,0.031193784,0.1686,0,1
K18091,K18091,,Egg,,,0,2018,,,,,,1,0.3359768,0.066613223,0.1963,1,0
K19018,K19018,,Egg,,,0,2019,,,,,,1,0.3194203,0.135005067,0.1733,,1
K19019,K19019,,Egg,,,0,2019,,,,,,1,0.3305915,0.124106141,0.1733,1,1
